@relation credit-g_simple

@attribute duration numeric
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute age numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data
18,furniture/equipment,2462,'male single',22,skilled,bad
21,furniture/equipment,2288,'female div/dep/mar',23,skilled,good
48,business,3566,'male single',30,skilled,good
6,'new car',860,'female div/dep/mar',39,skilled,good
12,'new car',682,'female div/dep/mar',51,skilled,good
36,furniture/equipment,5371,'male single',28,skilled,good
18,radio/tv,1582,'male single',46,skilled,good
6,radio/tv,1346,'male single',42,skilled,good
10,radio/tv,1924,'male single',38,skilled,good
36,radio/tv,5848,'male single',24,skilled,good
24,'used car',7758,'female div/dep/mar',29,skilled,good
24,business,6967,'male single',36,'high qualif/self emp/mgmt',good
12,furniture/equipment,1282,'female div/dep/mar',20,skilled,bad
9,repairs,1288,'male single',48,skilled,good
12,retraining,339,'male mar/wid',45,'unskilled resident',good
24,'new car',3512,'male single',38,skilled,good
6,radio/tv,1898,'male single',34,'unskilled resident',good
24,radio/tv,2872,'male single',36,skilled,good
18,'new car',1055,'female div/dep/mar',30,skilled,good
15,'domestic appliance',1262,'male single',36,skilled,good
10,'new car',7308,'male single',70,'high qualif/self emp/mgmt',good
36,'new car',909,'male single',36,skilled,good
6,furniture/equipment,2978,'male single',32,skilled,good
18,furniture/equipment,1131,'female div/dep/mar',33,skilled,bad
11,furniture/equipment,1577,'female div/dep/mar',20,skilled,good
24,furniture/equipment,3972,'female div/dep/mar',25,skilled,good
24,business,1935,'male div/sep',31,skilled,bad
15,'new car',950,'male single',33,skilled,bad
12,furniture/equipment,763,'female div/dep/mar',26,skilled,good
24,furniture/equipment,2064,'female div/dep/mar',34,'high qualif/self emp/mgmt',bad
8,radio/tv,1414,'male single',33,skilled,good
21,education,3414,'male single',26,skilled,bad
30,'used car',7485,'female div/dep/mar',53,'high qualif/self emp/mgmt',bad
12,furniture/equipment,2577,'male div/sep',42,skilled,good
6,radio/tv,338,'male single',52,skilled,good
12,radio/tv,1963,'male single',31,'high qualif/self emp/mgmt',good
21,'new car',571,'male single',65,skilled,good
36,business,9572,'male div/sep',28,skilled,bad
36,business,4455,'male div/sep',30,'high qualif/self emp/mgmt',bad
21,'new car',1647,'male single',40,'unskilled resident',bad
24,furniture/equipment,3777,'male single',50,skilled,good
18,'new car',884,'male single',36,skilled,bad
15,radio/tv,1360,'male single',31,skilled,good
9,'used car',5129,'female div/dep/mar',74,'high qualif/self emp/mgmt',bad
16,'new car',1175,'male single',68,'unemp/unskilled non res',good
12,radio/tv,674,'male mar/wid',20,skilled,bad
18,furniture/equipment,3244,'female div/dep/mar',33,skilled,good
24,business,4591,'male single',54,'high qualif/self emp/mgmt',bad
48,business,3844,'male single',34,'unskilled resident',bad
27,business,3915,'male single',36,skilled,bad
6,radio/tv,2108,'male mar/wid',29,skilled,good
45,radio/tv,3031,'male single',21,skilled,bad
9,education,1501,'female div/dep/mar',34,'high qualif/self emp/mgmt',bad
6,radio/tv,1382,'female div/dep/mar',28,skilled,good
12,furniture/equipment,951,'female div/dep/mar',27,skilled,bad
24,'used car',2760,'male single',36,skilled,good
18,furniture/equipment,4297,'male div/sep',40,'high qualif/self emp/mgmt',bad
9,education,936,'male single',52,skilled,good
12,'new car',1168,'male mar/wid',27,'unskilled resident',good
27,business,5117,'male single',26,skilled,good
12,retraining,902,'male mar/wid',21,skilled,bad
12,'new car',1495,'male single',38,'unskilled resident',good
30,'used car',10623,'male single',38,'high qualif/self emp/mgmt',good
12,furniture/equipment,1935,'male single',43,skilled,good
12,'domestic appliance',1424,'male single',26,skilled,good
24,business,6568,'male mar/wid',21,'unskilled resident',good
12,'used car',1413,'male single',55,skilled,good
9,radio/tv,3074,'male single',33,skilled,good
36,radio/tv,3835,'female div/dep/mar',45,'unskilled resident',good
27,business,5293,'male single',50,skilled,bad
30,business,1908,'male single',66,'high qualif/self emp/mgmt',bad
36,radio/tv,3342,'male single',51,skilled,good
6,retraining,932,'female div/dep/mar',39,'unskilled resident',good
18,business,3104,'male single',31,skilled,good
36,radio/tv,3913,'male single',23,skilled,good
24,furniture/equipment,3021,'male div/sep',24,'unskilled resident',good
10,'new car',1364,'female div/dep/mar',64,skilled,good
12,radio/tv,625,'male mar/wid',26,'unskilled resident',good
12,education,1200,'female div/dep/mar',23,skilled,good
12,radio/tv,707,'male single',30,skilled,good
24,business,2978,'male single',32,skilled,good
15,'used car',4657,'male single',30,skilled,good
36,repairs,2613,'male single',27,skilled,good
48,radio/tv,10961,'male single',27,skilled,bad
12,furniture/equipment,7865,'male single',53,'high qualif/self emp/mgmt',bad
9,radio/tv,1478,'male single',22,skilled,bad
24,furniture/equipment,3149,'male single',22,skilled,good
36,radio/tv,4210,'male single',26,skilled,bad
9,'new car',2507,'male single',51,'unskilled resident',good
12,radio/tv,2141,'male single',35,skilled,good
18,radio/tv,866,'male mar/wid',25,'unskilled resident',good
4,radio/tv,1544,'male single',42,'unskilled resident',good
24,radio/tv,1823,'male single',30,'high qualif/self emp/mgmt',bad
6,'new car',14555,'male single',23,'unemp/unskilled non res',bad
21,business,2767,'male div/sep',61,'unskilled resident',bad
12,radio/tv,1291,'female div/dep/mar',35,skilled,good
30,radio/tv,2522,'male single',39,skilled,good
24,'new car',915,'female div/dep/mar',29,skilled,bad
6,radio/tv,1595,'male single',51,skilled,good
48,'used car',4605,'male single',24,skilled,bad
12,business,1185,'female div/dep/mar',27,skilled,good
12,retraining,3447,'female div/dep/mar',35,'unskilled resident',good
24,business,1258,'male single',25,skilled,good
12,radio/tv,717,'male single',52,skilled,good
6,'new car',1204,'male single',35,skilled,good
24,furniture/equipment,1925,'male single',26,skilled,good
18,radio/tv,433,'female div/dep/mar',22,skilled,bad
6,'new car',666,'female div/dep/mar',39,'unskilled resident',good
12,furniture/equipment,2251,'female div/dep/mar',46,'unskilled resident',good
30,'new car',2150,'female div/dep/mar',24,skilled,bad
24,furniture/equipment,4151,'male single',35,skilled,good
9,furniture/equipment,2030,'male single',24,skilled,good
60,radio/tv,7418,'male single',27,'unskilled resident',good
24,radio/tv,2684,'male single',35,'unskilled resident',good
12,radio/tv,2149,'male div/sep',29,skilled,bad
15,'used car',3812,'female div/dep/mar',23,skilled,good
11,radio/tv,1154,'female div/dep/mar',57,'unskilled resident',good
12,furniture/equipment,1657,'male single',27,skilled,good
24,radio/tv,1603,'female div/dep/mar',55,skilled,good
18,'new car',5302,'male single',36,'high qualif/self emp/mgmt',good
12,education,2748,'female div/dep/mar',57,'unskilled resident',good
10,'new car',1231,'male single',32,'unskilled resident',good
15,radio/tv,802,'male single',37,skilled,bad
36,business,6304,'male single',36,skilled,good
24,radio/tv,1533,'female div/dep/mar',38,skilled,good
14,'new car',8978,'male div/sep',45,'high qualif/self emp/mgmt',bad
24,radio/tv,999,'male single',25,skilled,good
18,'new car',2662,'male single',32,skilled,good
12,furniture/equipment,1402,'female div/dep/mar',37,skilled,good
48,'new car',12169,'male single',36,'high qualif/self emp/mgmt',good
48,radio/tv,3060,'male single',28,skilled,bad
30,repairs,11998,'male div/sep',34,'unskilled resident',bad
9,radio/tv,2697,'male single',32,skilled,good
18,radio/tv,2404,'female div/dep/mar',26,skilled,good
12,furniture/equipment,1262,'male div/sep',49,'unskilled resident',good
6,furniture/equipment,4611,'female div/dep/mar',32,skilled,bad
24,radio/tv,1901,'male single',29,'high qualif/self emp/mgmt',good
15,'used car',3368,'male single',23,skilled,good
12,furniture/equipment,1574,'male single',50,skilled,good
18,radio/tv,1445,'male single',49,'unskilled resident',good
15,furniture/equipment,1520,'male single',63,skilled,good
24,'new car',3878,'male div/sep',37,skilled,good
47,'new car',10722,'female div/dep/mar',35,'unskilled resident',good
48,'used car',4788,'male single',26,skilled,good
48,other,7582,'male single',31,'high qualif/self emp/mgmt',good
12,radio/tv,1092,'female div/dep/mar',49,skilled,good
24,radio/tv,1024,'male mar/wid',48,skilled,bad
12,business,1076,'male mar/wid',26,skilled,good
36,'used car',9398,'male mar/wid',28,'high qualif/self emp/mgmt',bad
24,'used car',6419,'female div/dep/mar',44,'high qualif/self emp/mgmt',good
42,'used car',4796,'male single',56,skilled,good
48,business,7629,'male div/sep',46,'high qualif/self emp/mgmt',good
48,furniture/equipment,9960,'female div/dep/mar',26,skilled,bad
12,'used car',4675,'female div/dep/mar',20,skilled,good
10,'new car',1287,'male single',45,'unskilled resident',good
18,furniture/equipment,2515,'male single',43,skilled,good
21,furniture/equipment,2745,'male single',32,skilled,good
6,'new car',672,'female div/dep/mar',54,'unemp/unskilled non res',good
36,radio/tv,3804,'female div/dep/mar',42,skilled,bad
24,'new car',1344,'male single',37,'unskilled resident',bad
10,'new car',1038,'male single',49,skilled,good
48,'new car',10127,'male single',44,skilled,bad
6,furniture/equipment,1543,'male div/sep',33,skilled,good
30,'used car',4811,'female div/dep/mar',24,'unskilled resident',good
12,radio/tv,727,'male mar/wid',33,'unskilled resident',bad
8,furniture/equipment,1237,'female div/dep/mar',24,skilled,bad
9,'new car',276,'male mar/wid',22,'unskilled resident',good
48,other,5381,'male single',40,'unemp/unskilled non res',good
24,furniture/equipment,5511,'male single',25,skilled,good
24,furniture/equipment,3749,'female div/dep/mar',26,skilled,good
12,'new car',685,'male mar/wid',25,'unskilled resident',bad
4,'new car',1494,'male single',29,'unskilled resident',good
36,furniture/equipment,2746,'male single',31,skilled,bad
12,furniture/equipment,708,'male single',38,'unskilled resident',good
24,furniture/equipment,4351,'female div/dep/mar',48,'unskilled resident',good
12,education,701,'male single',32,skilled,good
15,furniture/equipment,3643,'female div/dep/mar',27,'unskilled resident',good
30,'new car',4249,'male mar/wid',28,'high qualif/self emp/mgmt',bad
24,radio/tv,1938,'male div/sep',32,skilled,bad
24,'used car',2910,'male single',34,'high qualif/self emp/mgmt',good
18,furniture/equipment,2659,'male single',28,skilled,good
18,'new car',1028,'female div/dep/mar',36,skilled,good
8,'new car',3398,'male single',39,'unskilled resident',good
12,furniture/equipment,5801,'male single',49,skilled,good
24,'new car',1525,'female div/dep/mar',34,skilled,good
36,radio/tv,4473,'male single',31,skilled,good
6,radio/tv,1068,'male single',28,skilled,good
24,'used car',6615,'male single',75,'high qualif/self emp/mgmt',good
18,education,1864,'female div/dep/mar',30,skilled,bad
60,'new car',7408,'female div/dep/mar',24,'high qualif/self emp/mgmt',bad
48,'used car',11590,'female div/dep/mar',24,'unskilled resident',bad
24,furniture/equipment,4110,'male single',23,skilled,bad
6,furniture/equipment,3384,'male div/sep',44,'high qualif/self emp/mgmt',bad
13,radio/tv,2101,'female div/dep/mar',23,'unskilled resident',good
15,'domestic appliance',1275,'female div/dep/mar',24,skilled,bad
24,furniture/equipment,4169,'male single',28,skilled,good
10,furniture/equipment,1521,'male div/sep',31,'unskilled resident',good
24,education,5743,'female div/dep/mar',24,skilled,good
21,furniture/equipment,3599,'female div/dep/mar',26,'unskilled resident',good
18,radio/tv,3213,'male mar/wid',25,skilled,good
18,business,4439,'male single',33,'high qualif/self emp/mgmt',good
10,'new car',3949,'male single',37,'unskilled resident',good
15,radio/tv,1459,'female div/dep/mar',43,'unskilled resident',good
13,radio/tv,882,'male single',23,skilled,good
24,radio/tv,3758,'female div/dep/mar',23,'unemp/unskilled non res',good
6,business,1743,'male single',34,'unskilled resident',good
9,education,1136,'male single',32,skilled,bad
9,'domestic appliance',1236,'female div/dep/mar',23,skilled,good
9,furniture/equipment,959,'female div/dep/mar',29,skilled,bad
18,'used car',3229,'male single',38,'high qualif/self emp/mgmt',good
12,radio/tv,6199,'male single',28,skilled,bad
10,education,727,'male single',46,skilled,good
24,'new car',1246,'male single',23,'unskilled resident',bad
12,radio/tv,2331,'male single',49,skilled,good
36,radio/tv,4463,'male single',26,'high qualif/self emp/mgmt',bad
12,radio/tv,776,'male mar/wid',28,skilled,good
30,furniture/equipment,2406,'female div/dep/mar',23,skilled,bad
18,education,1239,'male single',61,skilled,good
12,radio/tv,3399,'male single',37,'high qualif/self emp/mgmt',good
12,'new car',2247,'female div/dep/mar',36,skilled,good
6,furniture/equipment,1766,'male mar/wid',21,skilled,good
18,furniture/equipment,2473,'male single',25,'unemp/unskilled non res',bad
12,business,1542,'male single',36,skilled,good
18,'used car',3850,'male single',27,skilled,good
18,furniture/equipment,3650,'female div/dep/mar',22,skilled,good
36,furniture/equipment,3446,'male single',42,skilled,bad
18,furniture/equipment,3001,'female div/dep/mar',40,skilled,good
36,'new car',3079,'male single',36,skilled,good
18,radio/tv,6070,'male single',33,skilled,good
10,furniture/equipment,2146,'female div/dep/mar',23,skilled,good
60,'new car',13756,'male single',63,'high qualif/self emp/mgmt',good
60,other,14782,'female div/dep/mar',60,'high qualif/self emp/mgmt',bad
48,business,7685,'female div/dep/mar',37,skilled,bad
18,radio/tv,2320,'male mar/wid',34,skilled,good
7,radio/tv,846,'male single',36,skilled,good
36,'new car',14318,'male single',57,'high qualif/self emp/mgmt',bad
6,'new car',362,'female div/dep/mar',52,'unskilled resident',good
20,furniture/equipment,2212,'male single',39,skilled,good
18,'used car',12976,'female div/dep/mar',38,'high qualif/self emp/mgmt',bad
22,'new car',1283,'female div/dep/mar',25,skilled,good
12,'new car',1330,'male single',26,skilled,good
30,business,4272,'male single',26,'unskilled resident',good
18,radio/tv,2238,'female div/dep/mar',25,skilled,good
18,radio/tv,1126,'female div/dep/mar',21,skilled,good
18,furniture/equipment,7374,'male single',40,'high qualif/self emp/mgmt',good
15,business,2326,'male single',27,skilled,good
9,business,1449,'female div/dep/mar',27,skilled,good
18,'new car',1820,'male mar/wid',30,'high qualif/self emp/mgmt',good
12,furniture/equipment,983,'female div/dep/mar',19,'unskilled resident',good
36,'new car',3249,'male single',39,'high qualif/self emp/mgmt',good
6,radio/tv,1957,'female div/dep/mar',31,skilled,good
9,furniture/equipment,2406,'male single',31,'high qualif/self emp/mgmt',good
39,education,11760,'male single',32,skilled,good
12,furniture/equipment,2578,'female div/dep/mar',55,'high qualif/self emp/mgmt',good
36,furniture/equipment,2348,'male mar/wid',46,skilled,good
12,'new car',1223,'male div/sep',46,skilled,bad
24,radio/tv,1516,'female div/dep/mar',43,'unskilled resident',good
18,radio/tv,1473,'male mar/wid',39,skilled,good
18,business,1887,'male mar/wid',28,skilled,good
24,business,8648,'male single',27,skilled,bad
14,'new car',802,'male single',27,'unskilled resident',good
18,'new car',2899,'male single',43,skilled,good
24,radio/tv,2039,'male mar/wid',22,skilled,bad
24,'used car',2197,'male single',43,skilled,good
15,radio/tv,1053,'male mar/wid',27,skilled,good
24,radio/tv,3235,'male div/sep',26,'high qualif/self emp/mgmt',good
12,'new car',939,'male mar/wid',28,skilled,bad
24,radio/tv,1967,'female div/dep/mar',20,skilled,good
33,'used car',7253,'male single',35,'high qualif/self emp/mgmt',good
12,business,2292,'male single',42,'high qualif/self emp/mgmt',bad
10,'new car',1597,'male single',40,'unskilled resident',good
24,'new car',1381,'female div/dep/mar',35,skilled,bad
36,'used car',5842,'male single',35,skilled,good
12,'new car',2579,'male single',33,'unskilled resident',bad
18,education,8471,'female div/dep/mar',23,skilled,good
21,'new car',2782,'female div/dep/mar',31,'high qualif/self emp/mgmt',good
18,'new car',1042,'female div/dep/mar',33,skilled,bad
15,'new car',3186,'female div/dep/mar',20,skilled,good
12,'used car',2028,'male single',30,skilled,good
12,'new car',958,'male single',47,'unskilled resident',good
21,furniture/equipment,1591,'male single',34,'high qualif/self emp/mgmt',good
12,furniture/equipment,2762,'female div/dep/mar',25,skilled,bad
18,'used car',2779,'male mar/wid',21,skilled,good
28,radio/tv,2743,'male single',29,skilled,good
18,radio/tv,1149,'male single',46,skilled,good
9,furniture/equipment,1313,'male single',20,skilled,good
18,repairs,1190,'female div/dep/mar',55,'unemp/unskilled non res',bad
5,business,3448,'male single',74,'unskilled resident',good
24,other,11328,'male single',29,'high qualif/self emp/mgmt',bad
6,furniture/equipment,1872,'male single',36,'high qualif/self emp/mgmt',good
24,repairs,2058,'male div/sep',33,skilled,good
9,furniture/equipment,2136,'male single',25,skilled,good
12,radio/tv,1484,'male mar/wid',25,skilled,bad
6,repairs,660,'male mar/wid',23,'unskilled resident',good
24,'new car',1287,'female div/dep/mar',37,skilled,good
42,repairs,3394,'male single',65,'unemp/unskilled non res',good
12,business,609,'female div/dep/mar',26,'unemp/unskilled non res',bad
12,'new car',1884,'male single',39,'high qualif/self emp/mgmt',good
12,furniture/equipment,1620,'female div/dep/mar',30,skilled,good
20,other,2629,'male single',29,skilled,good
12,education,719,'male single',41,'unskilled resident',bad
48,furniture/equipment,5096,'female div/dep/mar',30,'high qualif/self emp/mgmt',bad
9,education,1244,'female div/dep/mar',41,'unskilled resident',good
36,'new car',1842,'female div/dep/mar',34,skilled,bad
7,radio/tv,2576,'male single',35,skilled,good
12,furniture/equipment,1424,'female div/dep/mar',55,'high qualif/self emp/mgmt',good
15,repairs,1512,'male mar/wid',61,skilled,bad
36,'used car',11054,'male single',30,'high qualif/self emp/mgmt',good
6,radio/tv,518,'female div/dep/mar',29,skilled,good
12,furniture/equipment,2759,'male single',34,skilled,good
24,'used car',2670,'male single',35,'high qualif/self emp/mgmt',good
24,'new car',4817,'male single',31,skilled,bad
24,'used car',2679,'female div/dep/mar',29,'high qualif/self emp/mgmt',good
11,'new car',3905,'male single',36,skilled,good
12,'used car',3386,'male single',35,skilled,bad
6,'domestic appliance',343,'female div/dep/mar',27,skilled,good
18,radio/tv,4594,'male single',32,skilled,good
36,furniture/equipment,3620,'male single',37,skilled,good
15,'new car',1721,'male single',36,skilled,good
12,furniture/equipment,3017,'female div/dep/mar',34,'high qualif/self emp/mgmt',good
12,retraining,754,'male single',38,skilled,good
18,business,1950,'male single',34,skilled,good
24,'used car',2924,'male single',63,skilled,good
24,radio/tv,1659,'female div/dep/mar',29,'unskilled resident',bad
48,radio/tv,7238,'male single',32,skilled,good
33,business,2764,'female div/dep/mar',26,skilled,good
24,'used car',4679,'male single',35,'unskilled resident',good
24,radio/tv,3092,'male mar/wid',22,skilled,bad
6,education,448,'female div/dep/mar',23,skilled,bad
9,'new car',654,'male single',28,'unskilled resident',bad
6,retraining,1238,'male single',36,'high qualif/self emp/mgmt',good
18,radio/tv,1245,'male mar/wid',33,skilled,bad
18,furniture/equipment,3114,'female div/dep/mar',26,skilled,bad
39,'used car',2569,'male single',24,skilled,good
24,radio/tv,5152,'male single',25,skilled,good
12,business,1037,'male single',39,'unskilled resident',good
15,furniture/equipment,1478,'male single',44,skilled,good
12,radio/tv,3573,'female div/dep/mar',23,'unskilled resident',good
24,'new car',1201,'male single',26,skilled,good
30,furniture/equipment,3622,'female div/dep/mar',57,skilled,good
15,furniture/equipment,960,'female div/dep/mar',30,skilled,good
12,'new car',1163,'male single',44,skilled,good
6,'new car',1209,'male single',47,'high qualif/self emp/mgmt',bad
12,radio/tv,3077,'male single',52,skilled,good
24,'new car',3757,'female div/dep/mar',62,skilled,good
10,'new car',1418,'male single',35,'unskilled resident',good
6,'new car',3518,'male single',26,skilled,good
12,radio/tv,1934,'male single',26,skilled,good
27,business,8318,'female div/dep/mar',42,'high qualif/self emp/mgmt',bad
6,radio/tv,1237,'female div/dep/mar',27,skilled,good
6,radio/tv,368,'male single',38,skilled,good
12,'new car',2122,'male single',39,'unskilled resident',good
24,furniture/equipment,2996,'male mar/wid',20,skilled,bad
36,furniture/equipment,9034,'male single',29,'high qualif/self emp/mgmt',bad
24,furniture/equipment,1585,'male single',40,skilled,good
